,u10,v10,d2m,t2m,cdir,skt,tcrw,T
266,-0.3872633,-6.4989862,280.04358,282.2104,0,281.6379,0.06656249,14/05/2019 00:00
267,2.1258893,-4.9834085,278.16397,280.38083,7034886,280.89526,0.031577572,14/05/2019 12:00
268,2.336941,-1.349701,278.1561,279.88068,0,279.40515,0.012065947,15/05/2019 00:00
269,2.8395026,0.54360974,279.275,282.66052,7085968,282.09354,0.03142333,15/05/2019 12:00
270,1.426231,-0.030514896,279.31885,280.94025,0,279.22137,0.00016126,16/05/2019 00:00
271,0.357534,-0.4558131,279.96722,284.70374,7474621,286.62375,0.001780793,16/05/2019 12:00
272,-0.43791574,-1.0150737,280.28156,282.34622,0,282.0722,4.21E-05,17/05/2019 00:00
273,-1.5751832,-0.43983424,282.41837,289.2125,7556529,289.50693,0.001640573,17/05/2019 12:00
274,-1.5526136,-0.5076515,280.19287,281.95044,0,282.19266,1.40E-05,18/05/2019 00:00
275,-1.8570448,-0.21259975,285.66275,294.52396,7637053,297.6354,0.000245392,18/05/2019 12:00
276,0.97793996,0.20879662,285.06314,286.2869,0,283.44806,0.00487265,19/05/2019 00:00
277,-1.0752059,2.3575835,284.7,293.97995,7741608,295.446,0.002860487,19/05/2019 12:00
278,-0.6479337,1.5844661,284.83304,286.792,0,284.9182,0.00573501,20/05/2019 00:00
279,2.9678564,2.568839,282.81152,293.90524,7764129,296.21756,0.000946492,20/05/2019 12:00
280,1.8717656,1.8538774,281.60986,284.9865,0,284.69797,0,21/05/2019 00:00
281,3.517108,1.9657296,281.9779,293.5113,7872962,294.89883,0.008896962,21/05/2019 12:00
282,2.7688649,1.8614954,283.5343,286.80002,0,285.33945,0.0007011,22/05/2019 00:00
283,3.6199634,-0.76851594,284.9508,294.9315,7610379,297.64023,0.001318067,22/05/2019 12:00
284,2.341076,0.5027336,285.13065,287.41504,0,285.03247,0.010712817,23/05/2019 00:00
285,2.6749685,-3.075791,284.46057,291.69348,7471475.5,292.61792,0.008020595,23/05/2019 12:00
286,2.1531105,-1.1349152,282.3952,285.9158,0,284.22443,0.001808837,24/05/2019 00:00
