d2m,t2m,stl1,stl2,stl3,stl4,tcrw,date_full,,air-temp-1.8m-2m,air-hum,air-temp-1m,soil-temp,rain,dew2m,temp2m,soil1,soil2,soil3,soil4
270.64563,275.22668,272.31183,273.63806,276.35928,281.70264,0.000524342,05.01.2019 19:00:00,,1.3,82.3,1.4,0.7,0,-2.50437,2.07668,-0.83817,0.48806,3.20928,8.55264
271.20505,275.39957,272.2042,273.63177,276.35352,281.696,0.001198471,05.01.2019 20:00:00,,1.9,81.2,2,0.7,0,-1.94495,2.24957,-0.9458,0.48177,3.20352,8.546
271.4426,275.5333,272.23355,273.628,276.34802,281.69144,0.001098633,05.01.2019 21:00:00,,1.9,82.3,1.9,0.6,0,-1.7074,2.3833,-0.91645,0.478,3.19802,8.54144
272.153,275.30704,271.82547,273.6175,276.34103,281.68686,0.001323342,05.01.2019 22:00:00,,2.6,80.7,2.4,0.7,0,-0.997,2.15704,-1.32453,0.4675,3.19103,8.53686
272.43893,274.7634,272.0413,273.61118,276.33527,281.6807,0.00204736,05.01.2019 23:00:00,,2.7,80.3,2.1,0.6,0,-0.71107,1.6134,-1.1087,0.46118,3.18527,8.5307
272.6802,274.8181,272.36993,273.60782,276.3292,281.6754,0.001597941,06.01.2019 00:00:00,,1.5,83.8,1.1,0.6,0,-0.4698,1.6681,-0.78007,0.45782,3.1792,8.5254
272.33466,274.27444,272.47354,273.60403,276.32312,281.6695,0.000998735,06.01.2019 01:00:00,,1.3,83.4,1.4,0.7,0,-0.81534,1.12444,-0.67646,0.45403,3.17312,8.5195
272.59906,274.07996,272.6065,273.60025,276.31674,281.66467,0.003545404,06.01.2019 02:00:00,,2.6,85.9,2.7,0.7,0,-0.55094,0.92996,-0.5435,0.45025,3.16674,8.51467
272.6958,274.0901,272.83096,273.59564,276.31067,281.65897,0.008289218,06.01.2019 03:00:00,,1.7,87,1.8,0.6,0,-0.4542,0.9401,-0.31904,0.44564,3.16067,8.50897
272.46848,273.6565,272.87817,273.5931,276.3046,281.65347,0.01131022,06.01.2019 04:00:00,,1.1,88.1,1.2,0.7,0,-0.68152,0.5065,-0.27183,0.4431,3.1546,8.50347
272.60284,273.56668,272.86435,273.58975,276.29852,281.6489,0.010711014,06.01.2019 05:00:00,,1.3,88.7,1.2,0.6,0.1,-0.54716,0.41668,-0.28565,0.43975,3.14852,8.4989
272.76297,273.4904,272.9386,273.58725,276.29245,281.64294,0.007315457,06.01.2019 06:00:00,,1.9,88.6,1.7,0.6,0,-0.38703,0.3404,-0.2114,0.43725,3.14245,8.49294
273.28854,273.8706,273.0773,273.58386,276.28818,281.63837,0.003795087,06.01.2019 07:00:00,,1.6,88.3,1.5,0.6,0,0.13854,0.7206,-0.0727,0.43386,3.13818,8.48837
273.2735,274.21436,272.7504,273.58093,276.2821,281.63174,0.000699103,06.01.2019 08:00:00,,0.9,89.5,1,0.6,0,0.1235,1.06436,-0.3996,0.43093,3.1321,8.48174
272.1498,274.8816,273.0474,273.57883,276.27573,281.62717,5.00E-05,06.01.2019 09:00:00,,1.3,89.5,1.2,0.7,0,-1.0002,1.7316,-0.1026,0.42883,3.12573,8.47717
271.44635,275.85004,273.44107,273.59564,276.26935,281.6226,5.96E-08,06.01.2019 10:00:00,,2.6,81.3,2.6,0.6,0,-1.70365,2.70004,0.29107,0.44564,3.11935,8.4726
270.35434,276.52808,273.70123,273.60068,276.2639,281.61642,5.96E-08,06.01.2019 11:00:00,,4,73.5,5.8,0.7,0,-2.79566,3.37808,0.55123,0.45068,3.1139,8.46642
269.63263,276.88397,273.9959,273.6049,276.25842,281.6114,5.96E-08,06.01.2019 12:00:00,,3.6,67.2,4.2,0.6,0,-3.51737,3.73397,0.8459,0.4549,3.10842,8.4614
268.58145,277.24057,274.33145,273.6095,276.25327,281.60522,5.96E-08,06.01.2019 13:00:00,,4.2,65.5,7.1,0.7,0,-4.56855,4.09057,1.18145,0.4595,3.10327,8.45522
