Wind speed.mean,Rainfall.mean,Wind direction.mean,Ground temperature.mean,Air temperature.mean,u10,v10,d2m,t2m,skt,tcrw,Air moisture.mean,cdir,Global radiation.mean,cdir_real
2.441666667,0,63.19166667,7.951388889,4.894444444,0.8165069,-1.4009821,272.9158,278.43024,277.28046,0.000329524,73.09166667,0,54.24722222,0
0.892537313,0,30.41791045,37.11044776,8.237313433,-1.5141935,-2.233184,272.43298,283.54474,285.26993,0.000666052,59.88656716,6087095.5,76.83880597,563.6199537
1.322222222,0,63.47638889,25.93194444,4.952777778,-0.5499024,-1.980495,270.78885,277.65778,277.06296,0,68.55277778,0,200.5305556,0
0.7,0,280.7277778,25.88611111,9.038888889,-1.7450583,-1.084749,270.32327,286.64627,291.44095,0,54.17916667,6286392,161.6722222,582.0733333
0.569444444,0,232.7861111,44.14861111,3.95,-0.42137617,-1.7309644,269.8138,276.07953,274.4902,0,75.69305556,0,202.4541667,0
0.680555556,0,109.2236111,25.875,11.63055556,-0.48770672,-1.2333897,271.34067,289.5879,293.82443,0,50.45277778,6336719,161.55,586.7332407
0.448611111,0,191.9305556,26.06666667,5.770833333,-0.084037945,-1.2764955,272.46402,278.57657,276.19507,0,78.76666667,0,201.3888889,0
0.963888889,0,245.0986111,17.03888889,13.33194444,-1.0309281,-1.7789011,277.3998,291.34955,295.31525,0,61.48194444,6248646,158.9875,578.5783333
0.515277778,0,73.26388889,26.42083333,8.227777778,0.96553534,-0.8721928,275.44528,279.23108,277.3094,0,80.54861111,0,206.9375,0
0.701388889,0,242.775,26.54722222,14.83194444,0.45746052,1.0736996,276.56766,293.56686,297.6767,0,53.81111111,6405793.5,163.9833333,593.1290278
2.093055556,0,179.6944444,8.708333333,8.348611111,1.5421803,-0.030514896,274.03027,281.17056,277.7953,0,77.27361111,0,192.8958333,0
6.033333333,0.097222222,165.4680556,26.88472222,11.36527778,-2.1935215,-4.2968745,277.46286,290.33258,292.38046,0.000455722,72.83333333,6302371,138.9819444,583.5528704
4.061111111,0,67.54166667,8.834722222,6.751388889,3.0565844,-1.9221535,275.30487,279.29037,277.53857,0.000553876,81.02916667,0,153.5291667,0
2.916666667,0,58.125,17.8,7.422222222,-0.25529134,-3.3548641,271.83878,283.89484,285.27267,0.00135313,65.47222222,6495754,115.7930556,601.4587037
1.405555556,0,86.6625,8.536111111,3.273611111,1.2799593,-1.7045807,270.87213,275.5559,276.2749,0,81.20972222,0,105.5430556,0
1.075,0,124.9097222,8.152777778,7.593055556,-0.95305425,-3.1246567,271.7629,284.2789,285.7634,0.000988558,67.40972222,6521546.5,48.61527778,603.8468981
1.431944444,0,72.14166667,8.023611111,3.75,0.3788976,-1.8556368,271.30618,275.3861,274.9121,0,79.20277778,0,222.8194444,0
1.352777778,0,48.06388889,17.02916667,9.845833333,-0.64672774,-2.293755,269.62955,286.89572,291.48227,0,55.80972222,6793314,175.7111111,629.0105556
1.530555556,0,79.39166667,8.069444444,5.256944444,0.8566498,-1.5475789,272.463,276.0919,274.89355,0,80.64305556,0,219.025,0
